sum(PWGTP),SCHL_grouped,PINCP_adjusted
19,Pre-diploma grade,637000
6,Regular high school diploma,769000
13,Pre-diploma grade,737000
36,N/A,779000
22,N/A,819000
12,Pre-diploma grade,708000
35,Bachelors degree,1384000
1,Bachelors degree,1074000
13,Regular high school diploma,1275000
29,Regular high school diploma,984000
6,Regular high school diploma,912000
24,GED or alternative credential,926000
18,N/A,1061000
5,Pre-degree college,1217000
13,Pre-diploma grade,852000
4,Associates degree,883000
8,N/A,1013000
10,Pre-degree college,1203000
44,Pre-degree college,841000
37,Associates degree,752000
17,Pre-degree college,965000
29,Regular high school diploma,940000
32,Bachelors degree,1324000
4,Bachelors degree,1057000
65,Associates degree,634000
62,GED or alternative credential,426000
32,Regular high school diploma,711000
15,N/A,1027000
25,Pre-diploma grade,720000
11,Masters degree,1703000
14,Regular high school diploma,1019000
13,N/A,1290000
18,Pre-diploma grade,696000
14,Pre-degree college,1475000
7,Regular high school diploma,1203000
50,GED or alternative credential,515000
15,N/A,961000
5,Regular high school diploma,1137000
49,Pre-diploma grade,719000
5,Pre-diploma grade,475000
33,Regular high school diploma,964000
2,Associates degree,888000
13,GED or alternative credential,1087000
14,GED or alternative credential,1065000
16,Regular high school diploma,774000
17,Pre-diploma grade,648000
2,Pre-diploma grade,620000
19,Associates degree,1023000
4,Regular high school diploma,796000
26,Masters degree,1533000
30,Associates degree,743000
12,Bachelors degree,1064000
15,Masters degree,1027000
8,N/A,941000
56,Pre-diploma grade,718000
28,Associates degree,859000
47,GED or alternative credential,657000
8,Pre-diploma grade,578000
540507,Bachelors degree,56000
856731,Pre-degree college,21000
1285845,Pre-diploma grade,1000
50815,N/A,52000
1176728,Regular high school diploma,13000
1840,Bachelors degree,583000
55866,Regular high school diploma,125000
1146198,Regular high school diploma,21000
943203,Regular high school diploma,31000
1018522,Regular high school diploma,12000
265686,Bachelors degree,55000
365347,Bachelors degree,38000
703274,Pre-degree college,46000
169399,Masters degree,51000
869145,Pre-degree college,13000
126252,GED or alternative credential,26000
246294,Associates degree,12000
884139,Regular high school diploma,27000
60590,Pre-degree college,106000
349772,Regular high school diploma,68000
685288,Pre-degree college,27000
259615,Associates degree,27000
754793,Pre-degree college,31000
486740,Bachelors degree,14000
369487,Pre-degree college,68000
430968,Pre-diploma grade,18000
36252,Bachelors degree,149000
131270,GED or alternative credential,29000
173840,Masters degree,60000
