PWGTP,ESR,name,Income
1533,Unemployed/NA,Public Assistance Income [PAP],1000
1067,Unemployed/NA,Public Assistance Income [PAP],20000
1046,Civilian employed,Public Assistance Income [PAP],3000
1846,Unemployed/NA,Supplementary Security Income [SSIP],1000
1003,Civilian employed,Public Assistance Income [PAP],3000
2283,Civilian employed,Public Assistance Income [PAP],1000
1373,Unemployed/NA,Supplementary Security Income [SSIP],15000
1273,Civilian employed,Public Assistance Income [PAP],1000
1147,Unemployed/NA,Supplementary Security Income [SSIP],15000
394194,Unemployed/NA,Supplementary Security Income [SSIP],9000
71695,Unemployed/NA,Supplementary Security Income [SSIP],16000
4559,Unemployed/NA,Supplementary Security Income [SSIP],7000
23351,Unemployed/NA,Supplementary Security Income [SSIP],22000
1630,Civilian employed,Public Assistance Income [PAP],1000
19271,Unemployed/NA,Supplementary Security Income [SSIP],10000
2161,Unemployed/NA,Supplementary Security Income [SSIP],17000
5796,Unemployed/NA,Supplementary Security Income [SSIP],10000
35427,Unemployed/NA,Supplementary Security Income [SSIP],20000
7828,Unemployed/NA,Supplementary Security Income [SSIP],7000
3100,Unemployed/NA,Supplementary Security Income [SSIP],13000
9900,Unemployed/NA,Supplementary Security Income [SSIP],10000
2089,Unemployed/NA,Supplementary Security Income [SSIP],5000
1849,Civilian employed,Public Assistance Income [PAP],2000
1830,Civilian employed,Public Assistance Income [PAP],1000
2146,Civilian employed,Public Assistance Income [PAP],1000
2629,Unemployed/NA,Public Assistance Income [PAP],1000
4706,Unemployed/NA,Supplementary Security Income [SSIP],1000
1954,Unemployed/NA,Supplementary Security Income [SSIP],5000
4818,Unemployed/NA,Public Assistance Income [PAP],2000
1031,Civilian employed,Public Assistance Income [PAP],2000
2261,Unemployed/NA,Supplementary Security Income [SSIP],2000
2477,Unemployed/NA,Supplementary Security Income [SSIP],13000
2590,Unemployed/NA,Supplementary Security Income [SSIP],11000
1062,Unemployed/NA,Public Assistance Income [PAP],1000
1062,Unemployed/NA,Supplementary Security Income [SSIP],4000
1451,Civilian employed,Public Assistance Income [PAP],2000
3614,Unemployed/NA,Public Assistance Income [PAP],1000
3614,Unemployed/NA,Supplementary Security Income [SSIP],11000
1101,Unemployed/NA,Supplementary Security Income [SSIP],15000
2129,Unemployed/NA,Supplementary Security Income [SSIP],18000
1214,Civilian employed,Public Assistance Income [PAP],2000
1603,Civilian employed,Public Assistance Income [PAP],1000
1626,Unemployed/NA,Public Assistance Income [PAP],1000
1626,Unemployed/NA,Supplementary Security Income [SSIP],12000
1515,Unemployed/NA,Supplementary Security Income [SSIP],15000
1408,Unemployed/NA,Public Assistance Income [PAP],3000
1062,Civilian employed,Public Assistance Income [PAP],2000
1227,Unemployed/NA,Supplementary Security Income [SSIP],13000
1128,Unemployed/NA,Public Assistance Income [PAP],23000
1284,Civilian employed,Public Assistance Income [PAP],2000
217197,Unemployed/NA,Supplementary Security Income [SSIP],8000
19396,Unemployed/NA,Supplementary Security Income [SSIP],6000
38527,Unemployed/NA,Supplementary Security Income [SSIP],4000
9147,Unemployed/NA,Public Assistance Income [PAP],2000
4061,Unemployed/NA,Public Assistance Income [PAP],2000
2066,Unemployed/NA,Supplementary Security Income [SSIP],13000
7330,Unemployed/NA,Supplementary Security Income [SSIP],11000
1298,Unemployed/NA,Supplementary Security Income [SSIP],20000
13681,Unemployed/NA,Supplementary Security Income [SSIP],8000
4070,Unemployed/NA,Supplementary Security Income [SSIP],8000
2608,Unemployed/NA,Supplementary Security Income [SSIP],5000
9077,Unemployed/NA,Supplementary Security Income [SSIP],3000
24774,Unemployed/NA,Supplementary Security Income [SSIP],9000
4579,Unemployed/NA,Supplementary Security Income [SSIP],8000
47942,Unemployed/NA,Supplementary Security Income [SSIP],18000
